Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,11,0.0,100.0,0.0,15.378283868266594,0.0,0.4263717410021796,0.86643875118625,0,11
200,11,0.0,100.0,0.0,15.378283868266594,0.0,0.4263717410021796,0.86643875118625,0,11
300,11,0.0,100.0,0.0,15.378283868266594,0.0,0.4263717410021796,0.86643875118625,0,11
400,11,0.0,100.0,0.0,15.378283868266594,0.0,0.4263717410021796,0.86643875118625,0,11
500,30,0.0,40.0,60.0,15.40548361733367,0.24458993091089823,0.42666587440529125,0.8647997643156257,0,30
