Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,100.0,0.0,0.0,16.493111470449637,0.0,0.0,0.0,2,1
200,1,100.0,0.0,0.0,16.493111470449637,0.0,0.0,0.0,2,1
300,1,100.0,0.0,0.0,16.493111470449637,0.0,0.0,0.0,2,1
400,1,100.0,0.0,0.0,16.493111470449637,0.0,0.0,0.0,2,1
500,10,100.0,0.0,0.0,15.007262605795395,1.0,0.6022380799145828,0.5254838534381593,2,8
600,18,100.0,0.0,0.0,14.070160657468106,1.0,0.6003842836998133,0.5288490186599482,4,7
700,22,100.0,0.0,0.0,12.916809933719717,1.0,0.542952160172207,0.6141931656467547,7,4
800,68,98.52941176470588,1.4705882352941178,0.0,14.55529403766572,0.9987485812137127,0.527684604119258,0.651432590954656,8,42
