Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,34,91.17647058823529,8.823529411764707,0.0,14.0771661428826,0.9825365248133878,0.5128209958934221,0.6577086494602576,2,18
200,10,100.0,0.0,0.0,15.55314915432838,1.0,0.5342585998571352,0.6154993853622679,4,4
300,3,100.0,0.0,0.0,10.21606260000308,1.0,0.5247213867406335,0.6750738216605301,6,1
400,1,100.0,0.0,0.0,5.488224340515688,0.0,0.0,0.0,4,1
500,52,100.0,0.0,0.0,14.557048039904886,1.0,0.5319635046505763,0.6381707718027433,2,36
600,128,94.53125,5.46875,0.0,13.400341724246415,0.9953383147018997,0.5276814870677212,0.6497095622445217,5,50
700,321,93.76947040498442,6.230529595015576,0.0,13.672974590015222,0.9895774063082166,0.5222791547736798,0.6595432575704029,7,145
800,526,94.10646387832699,5.893536121673004,0.0,13.480919816163153,0.9829257638464286,0.5223325340349793,0.6590563425204918,9,177
