Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,100.0,0.0,0.0,16.056003100826327,0.0,0.0,0.0,1,1
200,1,100.0,0.0,0.0,16.056003100826327,0.0,0.0,0.0,1,1
300,1,100.0,0.0,0.0,16.056003100826327,0.0,0.0,0.0,1,1
400,1,100.0,0.0,0.0,16.056003100826327,0.0,0.0,0.0,1,1
500,10,100.0,0.0,0.0,14.73509588758321,1.0,0.5605256051526037,0.5768760046252716,2,6
600,68,100.0,0.0,0.0,14.061028672516887,1.0,0.5176425276634357,0.6730176553825397,4,43
700,124,98.38709677419355,1.6129032258064515,0.0,12.434572127444381,0.998895225419222,0.5328525537842285,0.6399112564973467,5,44
800,199,96.98492462311557,3.0150753768844223,0.0,13.350151363592273,0.9942986283020755,0.5211181259270653,0.6592351800271239,8,84
900,307,94.46254071661238,5.537459283387622,0.0,13.01656476337045,0.9852027029793894,0.5240985972472575,0.6525088049702721,8,98
